"Data","Municipio","confirmed","deaths","is_last","estimated_population_2019","city_ibge_code","confirmed_per_100k_inhabitants","death_rate","Área","População","Densidade Demográfica","Taxa Geométrica de Crescimento Anual da População - 2010/2020","Grau de Urbanização","Índice de Envelhecimento","População com Menos de 15 Anos","População com 60 Anos e Mais","Razão de Sexos","Qtd_Leitos_UTI_Adulto","SUS","Qtd_Leitos_UTI_Pediatrica","SUS_Pediatrica"
"2020-04-18","Guarulhos",305,28,"True",1379182,3518800,22.11456,0.0918,"318,68","1.351.275","4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
"2020-04-18","São Bernardo do Campo",294,20,"True",838936,3548708,35.04439,0.068,"409,53","812.086","1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
"2020-04-18","São Caetano do Sul",98,4,"True",161127,3548807,60.82159,0.0408,"15,33","151.244","9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
"2020-04-18","São Paulo",9428,686,"True",12252023,3550308,76.95056,0.0728,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-04-17","Guarulhos",295,28,"False",1379182,3518800,21.38949,0.0949,"318,68","1.351.275","4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
"2020-04-17","São Bernardo do Campo",281,17,"False",838936,3548708,33.49481,0.0605,"409,53","812.086","1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
"2020-04-17","São Caetano do Sul",94,4,"False",161127,3548807,58.33907,0.0426,"15,33","151.244","9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
"2020-04-17","São Paulo",8744,643,"False",12252023,3550308,71.36781,0.0735,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-04-16","Guarulhos",269,25,"False",1379182,3518800,19.50431,0.0929,"318,68","1.351.275","4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
"2020-04-16","São Bernardo do Campo",255,16,"False",838936,3548708,30.39564,0.0627,"409,53","812.086","1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
"2020-04-16","São Caetano do Sul",90,3,"False",161127,3548807,55.85656,0.0333,"15,33","151.244","9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
"2020-04-16","São Paulo",7908,603,"False",12252023,3550308,64.54444,0.0763,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
