Date,Country,Lat,Long,Confirmed,Deaths,GDP_Nominal_per_capta,Province/State,pop,urbanpop,density,medianage,smokers,tests,testpop,health_exp_pc,hospibed,quarantine,schools,restrictions,temperature,humidity,recovered
2020-01-22,Afghanistan,33,65,0,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,4,75,0
2020-01-23,Afghanistan,33,65,0,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,4,63,0
2020-01-24,Afghanistan,33,65,0,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,4,92,0
2020-01-25,Afghanistan,33,65,0,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,6,84,0
2020-01-26,Afghanistan,33,65,0,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,5,62,0
2020-01-27,Afghanistan,33,65,0,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,5,62,0
2020-01-28,Afghanistan,33,65,0,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,3,47,0
2020-01-29,Afghanistan,33,65,0,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,4,40,0
2020-01-30,Afghanistan,33,65,0,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,4,35,0
2020-01-31,Afghanistan,33,65,0,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,5,38,0
2020-02-01,Afghanistan,33,65,0,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,7,41,0
2020-02-02,Afghanistan,33,65,0,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,8,41,0
2020-02-03,Afghanistan,33,65,0,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,4,85,0
2020-02-04,Afghanistan,33,65,0,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,6,72,0
2020-02-05,Afghanistan,33,65,0,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,7,39,0
2020-02-06,Afghanistan,33,65,0,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,7,40,0
2020-02-07,Afghanistan,33,65,0,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,8,36,0
2020-02-08,Afghanistan,33,65,0,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,11,32,0
2020-02-09,Afghanistan,33,65,0,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,13,37,0
2020-02-10,Afghanistan,33,65,0,0,559,,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,10,68,0
