Date,Country,Lat,Long,Confirmed,Deaths,GDP_Nominal_per_capta,Province/State,day,pop,urbanpop,density,medianage,smokers,tests,testpop,health_exp_pc,hospibed,quarantine,schools,restrictions,temperature,humidity,confirmed,deaths,recovered,Numero_Dias_Infectados
2020-01-22,Afghanistan,33.0,65.0,0,0,559.0,,0,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,4,75,0,0,0,0
2020-01-23,Afghanistan,33.0,65.0,0,0,559.0,,1,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,4,63,0,0,0,0
2020-01-24,Afghanistan,33.0,65.0,0,0,559.0,,2,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,4,92,0,0,0,0
2020-01-25,Afghanistan,33.0,65.0,0,0,559.0,,3,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,6,84,0,0,0,0
2020-01-26,Afghanistan,33.0,65.0,0,0,559.0,,4,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,5,62,0,0,0,0
2020-01-27,Afghanistan,33.0,65.0,0,0,559.0,,5,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,5,62,0,0,0,0
2020-01-28,Afghanistan,33.0,65.0,0,0,559.0,,6,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,3,47,0,0,0,0
2020-01-29,Afghanistan,33.0,65.0,0,0,559.0,,7,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,4,40,0,0,0,0
2020-01-30,Afghanistan,33.0,65.0,0,0,559.0,,8,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,4,35,0,0,0,0
2020-01-31,Afghanistan,33.0,65.0,0,0,559.0,,9,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,5,38,0,0,0,0
2020-02-01,Afghanistan,33.0,65.0,0,0,559.0,,10,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,7,41,0,0,0,0
2020-02-02,Afghanistan,33.0,65.0,0,0,559.0,,11,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,8,41,0,0,0,0
2020-02-03,Afghanistan,33.0,65.0,0,0,559.0,,12,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,4,85,0,0,0,0
2020-02-04,Afghanistan,33.0,65.0,0,0,559.0,,13,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,6,72,0,0,0,0
2020-02-05,Afghanistan,33.0,65.0,0,0,559.0,,14,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,7,39,0,0,0,0
2020-02-06,Afghanistan,33.0,65.0,0,0,559.0,,15,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,7,40,0,0,0,0
2020-02-07,Afghanistan,33.0,65.0,0,0,559.0,,16,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,8,36,0,0,0,0
2020-02-08,Afghanistan,33.0,65.0,0,0,559.0,,17,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,11,32,0,0,0,0
2020-02-09,Afghanistan,33.0,65.0,0,0,559.0,,18,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,13,37,0,0,0,0
2020-02-10,Afghanistan,33.0,65.0,0,0,559.0,,19,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,10,68,0,0,0,0
2020-02-11,Afghanistan,33.0,65.0,0,0,559.0,,20,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,9,90,0,0,0,0
2020-02-12,Afghanistan,33.0,65.0,0,0,559.0,,21,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,10,88,0,0,0,0
2020-02-13,Afghanistan,33.0,65.0,0,0,559.0,,22,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,9,58,0,0,0,0
2020-02-14,Afghanistan,33.0,65.0,0,0,559.0,,23,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,11,39,0,0,0,0
2020-02-15,Afghanistan,33.0,65.0,0,0,559.0,,24,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,12,36,0,0,0,0
2020-02-16,Afghanistan,33.0,65.0,0,0,559.0,,25,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,13,33,0,0,0,0
2020-02-17,Afghanistan,33.0,65.0,0,0,559.0,,26,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,13,30,0,0,0,0
2020-02-18,Afghanistan,33.0,65.0,0,0,559.0,,27,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,14,36,0,0,0,0
2020-02-19,Afghanistan,33.0,65.0,0,0,559.0,,28,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,10,46,0,0,0,0
2020-02-20,Afghanistan,33.0,65.0,0,0,559.0,,29,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,13,35,0,0,0,0
2020-02-21,Afghanistan,33.0,65.0,0,0,559.0,,30,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,15,37,0,0,0,0
2020-02-22,Afghanistan,33.0,65.0,0,0,559.0,,31,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,18,41,0,0,0,0
2020-02-23,Afghanistan,33.0,65.0,0,0,559.0,,32,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,17,48,0,0,0,0
2020-02-24,Afghanistan,33.0,65.0,1,0,559.0,,33,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,16,52,1,0,0,1
2020-02-25,Afghanistan,33.0,65.0,1,0,559.0,,34,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,17,50,1,0,0,2
2020-02-26,Afghanistan,33.0,65.0,1,0,559.0,,35,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,18,42,1,0,0,3
2020-02-27,Afghanistan,33.0,65.0,1,0,559.0,,36,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,19,48,1,0,0,4
2020-02-28,Afghanistan,33.0,65.0,1,0,559.0,,37,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,13,59,1,0,0,5
2020-02-29,Afghanistan,33.0,65.0,1,0,559.0,,38,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,15,53,1,0,0,6
2020-03-01,Afghanistan,33.0,65.0,1,0,559.0,,39,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,18,41,1,0,0,7
2020-03-02,Afghanistan,33.0,65.0,1,0,559.0,,40,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,18,38,1,0,0,8
2020-03-03,Afghanistan,33.0,65.0,1,0,559.0,,41,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,17,50,1,0,0,9
2020-03-04,Afghanistan,33.0,65.0,1,0,559.0,,42,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,15,58,1,0,0,10
2020-03-05,Afghanistan,33.0,65.0,1,0,559.0,,43,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,10,75,1,0,0,11
2020-03-06,Afghanistan,33.0,65.0,1,0,559.0,,44,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,14,55,1,0,0,12
2020-03-07,Afghanistan,33.0,65.0,1,0,559.0,,45,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,12,49,1,0,0,13
2020-03-08,Afghanistan,33.0,65.0,4,0,559.0,,46,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,12,39,4,0,0,14
2020-03-09,Afghanistan,33.0,65.0,4,0,559.0,,47,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,11,49,4,0,0,15
2020-03-10,Afghanistan,33.0,65.0,5,0,559.0,,48,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,6,91,5,0,0,16
2020-03-11,Afghanistan,33.0,65.0,7,0,559.0,,49,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,7,82,7,0,0,17
2020-03-12,Afghanistan,33.0,65.0,7,0,559.0,,50,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,13,60,7,0,0,18
2020-03-13,Afghanistan,33.0,65.0,7,0,559.0,,51,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,15,48,7,0,0,19
2020-03-14,Afghanistan,33.0,65.0,11,0,559.0,,52,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,17,36,11,0,0,20
2020-03-15,Afghanistan,33.0,65.0,16,0,559.0,,53,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,17,33,16,0,0,21
2020-03-16,Afghanistan,33.0,65.0,21,0,559.0,,54,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,18,44,21,0,1,22
2020-03-17,Afghanistan,33.0,65.0,22,0,559.0,,55,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,18,51,22,0,1,23
2020-03-18,Afghanistan,33.0,65.0,22,0,559.0,,56,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,19,49,22,0,1,24
2020-03-19,Afghanistan,33.0,65.0,22,0,559.0,,57,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,20,44,22,0,1,25
2020-03-20,Afghanistan,33.0,65.0,24,0,559.0,,58,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,20,47,24,0,1,26
2020-03-21,Afghanistan,33.0,65.0,24,0,559.0,,59,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,19,47,24,0,1,27
2020-03-22,Afghanistan,33.0,65.0,40,1,559.0,,60,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5,-999,-999,-999,20,47,40,1,1,28
2020-01-22,Albania,41.1533,20.1683,0,0,6007.0,,0,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,11,45,0,0,0,0
2020-01-23,Albania,41.1533,20.1683,0,0,6007.0,,1,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,14,45,0,0,0,0
2020-01-24,Albania,41.1533,20.1683,0,0,6007.0,,2,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,13,56,0,0,0,0
2020-01-25,Albania,41.1533,20.1683,0,0,6007.0,,3,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,12,81,0,0,0,0
2020-01-26,Albania,41.1533,20.1683,0,0,6007.0,,4,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,13,79,0,0,0,0
2020-01-27,Albania,41.1533,20.1683,0,0,6007.0,,5,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,10,91,0,0,0,0
2020-01-28,Albania,41.1533,20.1683,0,0,6007.0,,6,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,10,91,0,0,0,0
2020-01-29,Albania,41.1533,20.1683,0,0,6007.0,,7,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,10,92,0,0,0,0
2020-01-30,Albania,41.1533,20.1683,0,0,6007.0,,8,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,11,82,0,0,0,0
2020-01-31,Albania,41.1533,20.1683,0,0,6007.0,,9,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,12,63,0,0,0,0
2020-02-01,Albania,41.1533,20.1683,0,0,6007.0,,10,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,13,83,0,0,0,0
2020-02-02,Albania,41.1533,20.1683,0,0,6007.0,,11,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,14,86,0,0,0,0
2020-02-03,Albania,41.1533,20.1683,0,0,6007.0,,12,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,14,84,0,0,0,0
2020-02-04,Albania,41.1533,20.1683,0,0,6007.0,,13,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,15,83,0,0,0,0
2020-02-05,Albania,41.1533,20.1683,0,0,6007.0,,14,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,6,85,0,0,0,0
2020-02-06,Albania,41.1533,20.1683,0,0,6007.0,,15,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,5,62,0,0,0,0
2020-02-07,Albania,41.1533,20.1683,0,0,6007.0,,16,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,8,55,0,0,0,0
2020-02-08,Albania,41.1533,20.1683,0,0,6007.0,,17,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,11,66,0,0,0,0
2020-02-09,Albania,41.1533,20.1683,0,0,6007.0,,18,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,11,72,0,0,0,0
2020-02-10,Albania,41.1533,20.1683,0,0,6007.0,,19,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,10,83,0,0,0,0
2020-02-11,Albania,41.1533,20.1683,0,0,6007.0,,20,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,12,88,0,0,0,0
2020-02-12,Albania,41.1533,20.1683,0,0,6007.0,,21,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,14,86,0,0,0,0
2020-02-13,Albania,41.1533,20.1683,0,0,6007.0,,22,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,14,67,0,0,0,0
2020-02-14,Albania,41.1533,20.1683,0,0,6007.0,,23,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,9,78,0,0,0,0
2020-02-15,Albania,41.1533,20.1683,0,0,6007.0,,24,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,12,70,0,0,0,0
2020-02-16,Albania,41.1533,20.1683,0,0,6007.0,,25,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,16,65,0,0,0,0
2020-02-17,Albania,41.1533,20.1683,0,0,6007.0,,26,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,15,63,0,0,0,0
2020-02-18,Albania,41.1533,20.1683,0,0,6007.0,,27,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,15,68,0,0,0,0
2020-02-19,Albania,41.1533,20.1683,0,0,6007.0,,28,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,14,81,0,0,0,0
2020-02-20,Albania,41.1533,20.1683,0,0,6007.0,,29,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,10,81,0,0,0,0
2020-02-21,Albania,41.1533,20.1683,0,0,6007.0,,30,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,13,59,0,0,0,0
2020-02-22,Albania,41.1533,20.1683,0,0,6007.0,,31,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,10,57,0,0,0,0
2020-02-23,Albania,41.1533,20.1683,0,0,6007.0,,32,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,14,54,0,0,0,0
2020-02-24,Albania,41.1533,20.1683,0,0,6007.0,,33,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,16,59,0,0,0,0
2020-02-25,Albania,41.1533,20.1683,0,0,6007.0,,34,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,17,67,0,0,0,0
2020-02-26,Albania,41.1533,20.1683,0,0,6007.0,,35,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,15,76,0,0,0,0
2020-02-27,Albania,41.1533,20.1683,0,0,6007.0,,36,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,6,89,0,0,0,0
2020-02-28,Albania,41.1533,20.1683,0,0,6007.0,,37,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,7,89,0,0,0,0
2020-02-29,Albania,41.1533,20.1683,0,0,6007.0,,38,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,11,56,0,0,0,0
2020-03-01,Albania,41.1533,20.1683,0,0,6007.0,,39,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,13,53,0,0,0,0
2020-03-02,Albania,41.1533,20.1683,0,0,6007.0,,40,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,17,76,0,0,0,0
2020-03-03,Albania,41.1533,20.1683,0,0,6007.0,,41,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,16,70,0,0,0,0
2020-03-04,Albania,41.1533,20.1683,0,0,6007.0,,42,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,10,91,0,0,0,0
2020-03-05,Albania,41.1533,20.1683,0,0,6007.0,,43,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,11,83,0,0,0,0
2020-03-06,Albania,41.1533,20.1683,0,0,6007.0,,44,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,12,69,0,0,0,0
2020-03-07,Albania,41.1533,20.1683,0,0,6007.0,,45,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,10,91,0,0,0,0
2020-03-08,Albania,41.1533,20.1683,0,0,6007.0,,46,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,12,89,0,0,0,0
2020-03-09,Albania,41.1533,20.1683,2,0,6007.0,,47,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,12,86,2,0,0,1
2020-03-10,Albania,41.1533,20.1683,10,0,6007.0,,48,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,12,81,10,0,0,2
2020-03-11,Albania,41.1533,20.1683,12,1,6007.0,,49,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,14,72,12,1,0,3
2020-03-12,Albania,41.1533,20.1683,23,1,6007.0,,50,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,21,67,23,1,0,4
2020-03-13,Albania,41.1533,20.1683,33,1,6007.0,,51,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,20,67,33,1,0,5
2020-03-14,Albania,41.1533,20.1683,38,1,6007.0,,52,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,20,73,38,1,0,6
2020-03-15,Albania,41.1533,20.1683,42,1,6007.0,,53,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,13,87,42,1,0,7
2020-03-16,Albania,41.1533,20.1683,51,1,6007.0,,54,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9,-999,-999,-999,13,70,51,1,0,8
