date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-04-18,SP,Adamantina,city,1,0,True,35068,3500105,2.8516,
2020-04-18,SP,Águas de Lindóia,city,1,1,True,18705,3500501,5.34616,1.0
2020-04-18,SP,Águas de São Pedro,city,1,0,True,3451,3500600,28.97711,
2020-04-18,SP,Agudos,city,5,1,True,37214,3500709,13.4358,0.2
2020-04-18,SP,Alambari,city,1,0,True,6025,3500758,16.59751,
2020-04-18,SP,Americana,city,25,3,True,239597,3501608,10.43419,0.12
2020-04-18,SP,Américo Brasiliense,city,5,0,True,40504,3501707,12.34446,
2020-04-18,SP,Amparo,city,5,0,True,72195,3501905,6.92569,
2020-04-18,SP,Andradina,city,2,0,True,57157,3502101,3.49913,
2020-04-18,SP,Angatuba,city,1,1,True,25228,3502200,3.96385,1.0
2020-04-18,SP,Aparecida,city,1,0,True,36157,3502507,2.76572,
2020-04-18,SP,Apiaí,city,1,0,True,24374,3502705,4.10273,
2020-04-18,SP,Araçariguama,city,1,0,True,22364,3502754,4.47147,
2020-04-18,SP,Araçatuba,city,37,0,True,197016,3502804,18.7802,
2020-04-18,SP,Araçoiaba da Serra,city,1,0,True,34146,3502903,2.9286,
2020-04-18,SP,Arandu,city,7,0,True,6357,3503109,110.11483,
2020-04-18,SP,Araraquara,city,44,2,True,236072,3503208,18.63838,0.0455
2020-04-18,SP,Araras,city,6,0,True,134236,3503307,4.46974,
2020-04-18,SP,Artur Nogueira,city,1,0,True,54408,3503802,1.83797,
2020-04-18,SP,Arujá,city,24,1,True,89824,3503901,26.71892,0.0417
2020-04-18,SP,Assis,city,6,1,True,104386,3504008,5.7479,0.1667
2020-04-18,SP,Atibaia,city,22,1,True,142761,3504107,15.41037,0.0455
2020-04-18,SP,Avaí,city,1,0,True,5403,3504305,18.50824,
2020-04-18,SP,Avaré,city,9,1,True,90655,3504503,9.92775,0.1111
2020-04-18,SP,Bady Bassitt,city,2,0,True,17502,3504602,11.42727,
2020-04-18,SP,Bariri,city,1,0,True,35264,3505203,2.83575,
2020-04-18,SP,Barra do Turvo,city,1,0,True,7659,3505401,13.05653,
2020-04-18,SP,Barretos,city,9,0,True,122098,3505500,7.37113,
2020-04-18,SP,Barueri,city,116,5,True,274182,3505708,42.30766,0.0431
2020-04-18,SP,Batatais,city,1,0,True,62508,3505906,1.5998,
2020-04-18,SP,Bauru,city,50,3,True,376818,3506003,13.26901,0.06
2020-04-18,SP,Bebedouro,city,2,0,True,77496,3506102,2.58078,
2020-04-18,SP,Bilac,city,1,0,True,8034,3506409,12.4471,
2020-04-18,SP,Birigui,city,6,0,True,123638,3506508,4.85288,
2020-04-18,SP,Boituva,city,5,0,True,60997,3507001,8.19712,
2020-04-18,SP,Botucatu,city,27,2,True,146497,3507506,18.43041,0.0741
2020-04-18,SP,Bragança Paulista,city,36,7,True,168668,3507605,21.3437,0.1944
2020-04-18,SP,Brodowski,city,4,0,True,24939,3507803,16.03914,
2020-04-18,SP,Buritama,city,3,0,True,17144,3508108,17.49883,
2020-04-18,SP,Caçapava,city,8,0,True,94263,3508504,8.48689,
2020-04-18,SP,Cachoeira Paulista,city,3,0,True,33327,3508603,9.00171,
2020-04-18,SP,Caiabu,city,1,1,True,4191,3508900,23.86065,1.0
2020-04-18,SP,Caieiras,city,48,6,True,101470,3509007,47.30462,0.125
2020-04-18,SP,Cajamar,city,7,1,True,76801,3509205,9.11446,0.1429
2020-04-18,SP,Cajuru,city,2,0,True,26167,3509403,7.64321,
2020-04-18,SP,Campinas,city,184,7,True,1204073,3509502,15.28147,0.038
2020-04-18,SP,Campo Limpo Paulista,city,5,1,True,84650,3509601,5.90667,0.2
2020-04-18,SP,Campos do Jordão,city,1,0,True,52088,3509700,1.91983,
2020-04-18,SP,Cananéia,city,1,0,True,12540,3509908,7.97448,
2020-04-18,SP,Capão Bonito,city,1,0,True,47138,3510203,2.12143,
2020-04-18,SP,Caraguatatuba,city,11,2,True,121532,3510500,9.05111,0.1818
2020-04-18,SP,Carapicuíba,city,71,3,True,400927,3510609,17.70896,0.0423
2020-04-18,SP,Castilho,city,1,0,True,21006,3511003,4.76054,
2020-04-18,SP,Catanduva,city,9,2,True,121862,3511102,7.3854,0.2222
2020-04-18,SP,Cedral,city,1,0,True,9237,3511300,10.82603,
2020-04-18,SP,Conchas,city,1,1,True,17896,3512308,5.58784,1.0
2020-04-18,SP,Cotia,city,79,5,True,249210,3513009,31.70017,0.0633
