"Data","Municipio","Confirmados","Mortos","Cod_IBGE","Confirmados_Por_100K_Habit.","Rate_Mortos","Regiao","Latitude","Longitude","Area","Populacao","Densidade_Demografica","Tx_Geomet_Cresc_Anual_Popul_2010_2020","Grau_Urbanizacao","Ind_Envelhecimento","Popul_Menos_15Anos","Popul_60Anos_Mais","Razao_Sexos","Ind_Isolamento(%)","Total_Leitos_UTI_Adulto","Total_Leitos_UTI_Pediatrica","Total_SUS","Total_SUS_Pediatrica"
"2020-02-25","São Paulo",1,0,3550308,0.00816,0.0,"Centro",-23.5505,-46.6333,1521.11,11869660,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0,957,20,20,0
"2020-02-26","São Paulo",1,0,3550308,0.00816,0.0,"Centro",-23.5505,-46.6333,1521.11,11869660,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0,957,20,20,0
"2020-02-27","São Paulo",1,0,3550308,0.00816,0.0,"Centro",-23.5505,-46.6333,1521.11,11869660,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0,957,20,20,0
"2020-02-28","São Paulo",2,0,3550308,0.01632,0.0,"Centro",-23.5505,-46.6333,1521.11,11869660,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0,957,20,20,0
"2020-02-29","São Paulo",2,0,3550308,0.01632,0.0,"Centro",-23.5505,-46.6333,1521.11,11869660,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0,957,20,20,0
"2020-03-01","São Paulo",2,0,3550308,0.01632,0.0,"Centro",-23.5505,-46.6333,1521.11,11869660,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0,957,20,20,0
"2020-03-02","São Paulo",2,0,3550308,0.01632,0.0,"Centro",-23.5505,-46.6333,1521.11,11869660,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0,957,20,20,0
"2020-03-03","São Paulo",2,0,3550308,0.01632,0.0,"Centro",-23.5505,-46.6333,1521.11,11869660,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0,957,20,20,0
"2020-03-04","São Paulo",3,0,3550308,0.02449,0.0,"Centro",-23.5505,-46.6333,1521.11,11869660,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0,957,20,20,0
"2020-03-05","São Paulo",6,0,3550308,0.04897,0.0,"Centro",-23.5505,-46.6333,1521.11,11869660,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,28,957,20,20,0
"2020-03-07","Santana de Parnaíba",1,0,3547304,0.71712,0.0,"Oeste",-23.443,-46.9227,179.95,138132,767.61,2.45,100.0,59.26,20.28,12.02,97.12,0,0,0,0,0
"2020-03-07","São Paulo",12,0,3550308,0.09794,0.0,"Centro",-23.5505,-46.6333,1521.11,11869660,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0,957,20,20,0
"2020-03-08","Santana de Parnaíba",1,0,3547304,0.71712,0.0,"Oeste",-23.443,-46.9227,179.95,138132,767.61,2.45,100.0,59.26,20.28,12.02,97.12,0,0,0,0,0
"2020-03-08","São Paulo",15,0,3550308,0.12243,0.0,"Centro",-23.5505,-46.6333,1521.11,11869660,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0,957,20,20,0
"2020-03-09","Santana de Parnaíba",1,0,3547304,0.71712,0.0,"Oeste",-23.443,-46.9227,179.95,138132,767.61,2.45,100.0,59.26,20.28,12.02,97.12,0,0,0,0,0
"2020-03-09","São Paulo",15,0,3550308,0.12243,0.0,"Centro",-23.5505,-46.6333,1521.11,11869660,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0,957,20,20,0
"2020-03-10","Santana de Parnaíba",1,0,3547304,0.71712,0.0,"Oeste",-23.443,-46.9227,179.95,138132,767.61,2.45,100.0,59.26,20.28,12.02,97.12,0,0,0,0,0
"2020-03-10","São Paulo",18,0,3550308,0.14691,0.0,"Centro",-23.5505,-46.6333,1521.11,11869660,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0,957,20,20,0
"2020-03-11","Santana de Parnaíba",1,0,3547304,0.71712,0.0,"Oeste",-23.443,-46.9227,179.95,138132,767.61,2.45,100.0,59.26,20.28,12.02,97.12,0,0,0,0,0
"2020-03-11","São Paulo",29,0,3550308,0.2367,0.0,"Centro",-23.5505,-46.6333,1521.11,11869660,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0,957,20,20,0
"2020-03-12","Ferraz de Vasconcelos",1,0,3515707,0.51473,0.0,"Leste",-23.529,-46.3636,29.56,193037,6530.35,1.39,95.51,50.76,21.48,10.9,95.47,32,0,0,0,0
"2020-03-12","Santana de Parnaíba",1,0,3547304,0.71712,0.0,"Oeste",-23.443,-46.9227,179.95,138132,767.61,2.45,100.0,59.26,20.28,12.02,97.12,32,0,0,0,0
"2020-03-12","São Paulo",44,0,3550308,0.35912,0.0,"Centro",-23.5505,-46.6333,1521.11,11869660,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,25,957,20,20,0
"2020-03-14","Carapicuíba",1,0,3510609,0.24942,0.0,"Oeste",-23.524,-46.8411,34.55,394598,11421.07,0.66,100.0,58.79,21.98,12.92,94.44,0,3,0,0,0
"2020-03-14","Ferraz de Vasconcelos",1,0,3515707,0.51473,0.0,"Leste",-23.529,-46.3636,29.56,193037,6530.35,1.39,95.51,50.76,21.48,10.9,95.47,0,0,0,0,0
"2020-03-14","Santana de Parnaíba",1,0,3547304,0.71712,0.0,"Oeste",-23.443,-46.9227,179.95,138132,767.61,2.45,100.0,59.26,20.28,12.02,97.12,0,0,0,0,0
"2020-03-14","São Paulo",62,0,3550308,0.50604,0.0,"Centro",-23.5505,-46.6333,1521.11,11869660,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0,957,20,20,0
"2020-03-16","Carapicuíba",1,0,3510609,0.24942,0.0,"Oeste",-23.524,-46.8411,34.55,394598,11421.07,0.66,100.0,58.79,21.98,12.92,94.44,0,3,0,0,0
"2020-03-16","Ferraz de Vasconcelos",1,0,3515707,0.51473,0.0,"Leste",-23.529,-46.3636,29.56,193037,6530.35,1.39,95.51,50.76,21.48,10.9,95.47,0,0,0,0,0
"2020-03-16","Mauá",1,0,3529401,0.21146,0.0,"Sudeste",-23.6666,-46.4599,61.91,460132,7432.27,1.0,100.0,66.02,19.03,12.56,95.49,0,0,0,0,0
"2020-03-16","Santana de Parnaíba",1,0,3547304,0.71712,0.0,"Oeste",-23.443,-46.9227,179.95,138132,767.61,2.45,100.0,59.26,20.28,12.02,97.12,0,0,0,0,0
"2020-03-16","Santo André",1,0,3547809,0.13913,0.0,"Sudeste",-23.6742,-46.5436,175.78,693867,3947.36,0.26,100.0,102.66,17.31,17.77,92.45,0,30,0,0,0
"2020-03-16","São Bernardo do Campo",1,0,3548708,0.1192,0.0,"Sudeste",-23.6898,-46.5648,409.53,812086,1982.97,0.6,98.39,81.93,18.38,15.06,93.57,0,119,10,0,0
"2020-03-16","São Caetano do Sul",1,0,3548807,0.62063,0.0,"Sudeste",-23.6234,-46.5552,15.33,151244,9865.88,0.14,100.0,157.5,14.66,23.1,86.82,0,30,4,0,0
"2020-03-16","São Paulo",145,0,3550308,1.18348,0.0,"Centro",-23.5505,-46.6333,1521.11,11869660,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0,957,20,20,0
"2020-03-17","Carapicuíba",1,0,3510609,0.24942,0.0,"Oeste",-23.524,-46.8411,34.55,394598,11421.07,0.66,100.0,58.79,21.98,12.92,94.44,37,3,0,0,0
"2020-03-17","Ferraz de Vasconcelos",1,0,3515707,0.51473,0.0,"Leste",-23.529,-46.3636,29.56,193037,6530.35,1.39,95.51,50.76,21.48,10.9,95.47,35,0,0,0,0
"2020-03-17","Guarulhos",1,0,3518800,0.07251,0.0,"Leste",-23.4543,-46.5337,318.68,1351275,4240.23,1.02,100.0,57.41,20.97,12.04,95.01,38,23,2,0,0
"2020-03-17","Mauá",1,0,3529401,0.21146,0.0,"Sudeste",-23.6666,-46.4599,61.91,460132,7432.27,1.0,100.0,66.02,19.03,12.56,95.49,38,0,0,0,0
"2020-03-17","Santana de Parnaíba",1,0,3547304,0.71712,0.0,"Oeste",-23.443,-46.9227,179.95,138132,767.61,2.45,100.0,59.26,20.28,12.02,97.12,41,0,0,0,0
"2020-03-17","Santo André",1,0,3547809,0.13913,0.0,"Sudeste",-23.6742,-46.5436,175.78,693867,3947.36,0.26,100.0,102.66,17.31,17.77,92.45,37,30,0,0,0
"2020-03-17","São Bernardo do Campo",1,0,3548708,0.1192,0.0,"Sudeste",-23.6898,-46.5648,409.53,812086,1982.97,0.6,98.39,81.93,18.38,15.06,93.57,37,119,10,0,0
"2020-03-17","São Caetano do Sul",1,0,3548807,0.62063,0.0,"Sudeste",-23.6234,-46.5552,15.33,151244,9865.88,0.14,100.0,157.5,14.66,23.1,86.82,38,30,4,0,0
"2020-03-17","São Paulo",156,1,3550308,1.27326,0.0064,"Centro",-23.5505,-46.6333,1521.11,11869660,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,38,957,20,20,0
"2020-03-18","Barueri",1,0,3505708,0.36472,0.0,"Oeste",-23.5114,-46.8729,65.7,26439,4024.2,0.95,100.0,47.09,23.62,11.12,94.74,37,0,0,0,0
