Data,Municipio,confirmados,Mortos,população,confirmado_100K,taxa_mortalidade,Área,População,dens_demog,tx_cresc_pop,grau_urb,ind_env,pop_menor_15,pop_60_mais,razao_sexo,Qtd_Leitos_UTI_Adulto,SUS_adulto,Qtd_Leitos_UTI_Pediatrica,SUS_Pediatrica
2020-04-18,Guarulhos,305,28,1379182,22.11456,0.0918,"318,68",1.351.275,"4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
2020-04-18,São Bernardo do Campo,294,20,838936,35.04439,0.068,"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
2020-04-18,São Caetano do Sul,98,4,161127,60.82159,0.0408,"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
2020-04-18,São Paulo,9428,686,12252023,76.95056,0.0728,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-04-17,Guarulhos,295,28,1379182,21.38949,0.0949,"318,68",1.351.275,"4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
2020-04-17,São Bernardo do Campo,281,17,838936,33.49481,0.0605,"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
2020-04-17,São Caetano do Sul,94,4,161127,58.33907,0.0426,"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
2020-04-17,São Paulo,8744,643,12252023,71.36781,0.0735,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-04-16,Guarulhos,269,25,1379182,19.50431,0.0929,"318,68",1.351.275,"4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
2020-04-16,São Bernardo do Campo,255,16,838936,30.39564,0.0627,"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
2020-04-16,São Caetano do Sul,90,3,161127,55.85656,0.0333,"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
2020-04-16,São Paulo,7908,603,12252023,64.54444,0.0763,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-04-15,Guarulhos,253,22,1379182,18.34421,0.087,"318,68",1.351.275,"4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
2020-04-15,São Bernardo do Campo,231,15,838936,27.53488,0.0649,"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
2020-04-15,São Caetano do Sul,85,3,161127,52.75342,0.0353,"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
2020-04-15,São Paulo,7764,558,12252023,63.36913,0.0719,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-04-14,Guarulhos,214,19,1379182,15.51644,0.0888,"318,68",1.351.275,"4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
2020-04-14,São Bernardo do Campo,201,11,838936,23.95892,0.0547,"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
2020-04-14,São Caetano do Sul,77,3,161127,47.78839,0.039,"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
2020-04-14,São Paulo,6705,512,12252023,54.72566,0.0764,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-04-13,Guarulhos,200,17,1379182,14.50135,0.085,"318,68",1.351.275,"4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
2020-04-13,São Bernardo do Campo,185,10,838936,22.05174,0.0541,"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
2020-04-13,São Caetano do Sul,73,2,161127,45.30588,0.0274,"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
2020-04-13,São Paulo,6418,456,12252023,52.38319,0.0711,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-04-12,Guarulhos,198,16,1379182,14.35634,0.0808,"318,68",1.351.275,"4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
2020-04-12,São Bernardo do Campo,179,10,838936,21.33655,0.0559,"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
2020-04-12,São Caetano do Sul,67,2,161127,41.58211,0.0299,"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
2020-04-12,São Paulo,6352,445,12252023,51.8445,0.0701,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-04-11,Guarulhos,191,16,1379182,13.84879,0.0838,"318,68",1.351.275,"4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
