Cdufmun;Município;DATA;Número de registros;População;UF;Índice de isolamento
3550308;São Paulo;01/04/2020;1;12252023;SP;56%
3550308;São Paulo;02/04/2020;1;12252023;SP;56%
3550308;São Paulo;03/04/2020;1;12252023;SP;56%
3550308;São Paulo;04/04/2020;1;12252023;SP;58%
3550308;São Paulo;05/03/2020;1;12252023;SP;28%
3550308;São Paulo;05/04/2020;1;12252023;SP;59%
3550308;São Paulo;06/03/2020;1;12252023;SP;27%
3550308;São Paulo;06/04/2020;1;12252023;SP;54%
3550308;São Paulo;07/04/2020;1;12252023;SP;52%
3550308;São Paulo;08/04/2020;1;12252023;SP;51%
3550308;São Paulo;09/04/2020;1;12252023;SP;48%
3550308;São Paulo;10/04/2020;1;12252023;SP;56%
3550308;São Paulo;11/04/2020;1;12252023;SP;54%
3550308;São Paulo;12/03/2020;1;12252023;SP;25%
3550308;São Paulo;12/04/2020;1;12252023;SP;58%
3550308;São Paulo;13/03/2020;1;12252023;SP;29%
3550308;São Paulo;17/03/2020;1;12252023;SP;38%
3550308;São Paulo;18/03/2020;1;12252023;SP;40%
3550308;São Paulo;19/03/2020;1;12252023;SP;43%
3550308;São Paulo;20/03/2020;1;12252023;SP;45%
3550308;São Paulo;21/03/2020;1;12252023;SP;57%
3550308;São Paulo;22/03/2020;1;12252023;SP;56%
3550308;São Paulo;23/03/2020;1;12252023;SP;53%
3550308;São Paulo;24/03/2020;1;12252023;SP;55%
3550308;São Paulo;25/03/2020;1;12252023;SP;55%
3550308;São Paulo;26/03/2020;1;12252023;SP;55%
3550308;São Paulo;27/03/2020;1;12252023;SP;55%
3550308;São Paulo;28/03/2020;1;12252023;SP;56%
3550308;São Paulo;29/03/2020;1;12252023;SP;59%
3550308;São Paulo;30/03/2020;1;12252023;SP;57%
3550308;São Paulo;31/03/2020;1;12252023;SP;56%
3550308;São Paulo;13/04/2020;1;12252023;SP;50%
3550308;São Paulo;14/04/2020;1;12252023;SP;50%
3550308;São Paulo;15/04/2020;1;12252023;SP;50%
3550308;São Paulo;16/04/2020;1;12252023;SP;49%
3550308;São Paulo;17/04/2020;1;12252023;SP;49%
3550308;São Paulo;18/04/2020;1;12252023;SP;53%
3550308;São Paulo;19/04/2020;1;12252023;SP;58%
3550308;São Paulo;20/04/2020;1;12252023;SP;51%
